taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
6092114	Gracula indica (Cuvier, 1829)	6092114	Gracula indica (Cuvier, 1829)	19563	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Gracula	2488998	Gracula indica	6092114
6095257	Phalacrocorax nivalis	6095257	Phalacrocorax nivalis	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Suliformes	7192775	Phalacrocoracidae	5268	Phalacrocorax	2481854	Phalacrocorax nivalis	6095257
6101147	Porphyrio madagascariensis (Latham, 1801)	6176729	Porphyrio porphyrio madagascariensis (Latham, 1802)	4912	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Porphyrio	3242186	Porphyrio porphyrio	2474416
7378868	Streptopelia dusumieri	7378868	Streptopelia dusumieri	1136	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Streptopelia	2495657	Streptopelia dusumieri	7378868
7587626	Pachycephala richardsi	7587626	Pachycephala richardsi	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pachycephalidae	3241790	Pachycephala	5959160	Pachycephala richardsi	7587626
9398243	Sphenopsis melanotis	9398243	Sphenopsis melanotis	5451	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Sphenopsis	4851602	Sphenopsis melanotis	9398243
2473622	Arborophila charltonii (Eyton, 1845)	2473622	Arborophila charltonii (Eyton, 1845)	734	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Arborophila	2473604	Arborophila charltonii	2473622
2476844	Selasphorus platycercus (Swainson, 1827)	2476844	Selasphorus platycercus (Swainson, 1827)	206962	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Selasphorus	2476843	Selasphorus platycercus	2476844
2477009	Lophornis helenae (Delattre, 1843)	2477009	Lophornis helenae (Delattre, 1843)	4365	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Lophornis	2476999	Lophornis helenae	2477009
2480061	Psittaculirostris salvadorii (Oustalet, 1880)	2480061	Psittaculirostris salvadorii (Oustalet, 1880)	55	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Psittaculirostris	2480053	Psittaculirostris salvadorii	2480061
2480816	Pilherodius pileatus (Boddaert, 1783)	2480816	Pilherodius pileatus (Boddaert, 1783)	12990	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Pilherodius	2480815	Pilherodius pileatus	2480816
